[*] Generating 8-bit Prime-Harmonic Manifold...
[*] Initial Manifold Size: 267
[*] Pruning 11 values...
[*] Final Manifold Size: 256
[*] Launching 0.1B ANTIGRAVITY (Phase 53)...
[*] Resuming...
C:\Users\phil\AppData\Roaming\Python\Python310\site-packages\huggingface_hub\file_download.py:896: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
[*] Keys Adjusted: 0 missing, 0 unexpected.
[*] Clearing Initialization Memory...
C:\Users\phil\AppData\Roaming\Python\Python310\site-packages\huggingface_hub\file_download.py:896: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Token indices sequence length is longer than the specified maximum sequence length for this model (1055 > 1024). Running this sequence through the model will result in indexing errors
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1593 | Tension: 0.999263
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1527 | Tension: 0.999062
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 761 | Tension: 0.999886
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 805 | Tension: 0.999448
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 788 | Tension: 0.999875
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 985 | Tension: 0.999562
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1128 | Tension: 1.000110
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1476 | Tension: 0.999376
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 941 | Tension: 0.999918
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 889 | Tension: 0.999581
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 906 | Tension: 0.999856
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 790 | Tension: 0.999544
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 966 | Tension: 0.999732
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 757 | Tension: 0.999593
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1097 | Tension: 0.999808
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 888 | Tension: 0.999557
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1036 | Tension: 0.999812
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 1003 | Tension: 0.999705
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1150 | Tension: 0.999689
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 924 | Tension: 0.999601
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2360 | Tension: 1.000096
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2362 | Tension: 0.999568
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1304 | Tension: 0.999971
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 990 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1550 | Tension: 1.000882
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2275 | Tension: 1.000224
[!] AVALANCHE in head | Flips: 9848 | Tension: 0.997021
Step 1 | Loss: 5.1407 | TPS: 1244.45 | Flips: 0.0411% | P-Scale: 0.9996 | Anneal: 0.51 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1656 | Tension: 0.999265
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1553 | Tension: 0.999057
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 745 | Tension: 0.999884
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 883 | Tension: 0.999448
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 830 | Tension: 0.999875
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 966 | Tension: 0.999562
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1147 | Tension: 1.000113
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1451 | Tension: 0.999375
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 968 | Tension: 0.999915
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 922 | Tension: 0.999579
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 942 | Tension: 0.999856
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 788 | Tension: 0.999545
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 993 | Tension: 0.999731
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 815 | Tension: 0.999591
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1027 | Tension: 0.999806
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 886 | Tension: 0.999558
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1106 | Tension: 0.999812
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 1011 | Tension: 0.999706
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1218 | Tension: 0.999688
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 946 | Tension: 0.999603
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2297 | Tension: 1.000099
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2412 | Tension: 0.999572
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1377 | Tension: 0.999971
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 1222 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1643 | Tension: 1.000884
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2223 | Tension: 1.000229
[!] AVALANCHE in head | Flips: 9821 | Tension: 0.996994
Step 2 | Loss: 5.4867 | TPS: 5529.70 | Flips: 0.0419% | P-Scale: 0.9996 | Anneal: 0.51 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1654 | Tension: 0.999267
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1503 | Tension: 0.999053
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 753 | Tension: 0.999883
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 899 | Tension: 0.999448
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 804 | Tension: 0.999875
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 917 | Tension: 0.999564
